pid,artist,location,label,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest,bio
obj01,"Benson, S. Patricia",American,American Indian #1,1969,Embossed Intaglio,Museum of Fine Arts at Florida State University,Museum of Fine Arts at Florida State University,0,qatar_item,mofa,"/img/derivatives/iiif/images/obj01/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj01/full/full/0/default.jpg,/img/derivatives/iiif/obj01/manifest.json,/bio/#benson
obj02,"Hartwell, Janice",American,Fly Me,1975,Black and White Photograph,Museum of Fine Arts at Florida State University,Museum of Fine Arts at Florida State University,1,qatar_item,mofa,"/img/derivatives/iiif/images/obj02/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj02/full/full/0/default.jpg,/img/derivatives/iiif/obj02/manifest.json,/bio/#hartwell
obj03,"Kollwitz, Kathe",German,The March of the Weavers (Wederzug),1897,Etching and sandpaper aquatint,Museum of Fine Arts at Florida State University,Museum of Fine Arts at Florida State University,2,qatar_item,mofa,"/img/derivatives/iiif/images/obj03/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj03/full/full/0/default.jpg,/img/derivatives/iiif/obj03/manifest.json,/bio/#kollwitz
obj04,"Kollwitz, Kathe",German,Battlefield,1921,Intaglio,Museum of Fine Arts at Florida State University,Museum of Fine Arts at Florida State University,3,qatar_item,mofa,"/img/derivatives/iiif/images/obj04/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj04/full/full/0/default.jpg,/img/derivatives/iiif/obj04/manifest.json,/bio/#kollwitz
obj05,"Metzner, Sheila",American,"Uma, Patou Dress",1983,Photographic Reproduction,Museum of Fine Arts at Florida State University,Museum of Fine Arts at Florida State University,4,qatar_item,mofa,"/img/derivatives/iiif/images/obj05/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj05/full/full/0/default.jpg,/img/derivatives/iiif/obj05/manifest.json,/bio/#metzner
obj06,"Scott, Mary O.",American,Flower Children,1969,Drypoint,Museum of Fine Arts at Florida State University,Museum of Fine Arts at Florida State University,5,qatar_item,mofa,"/img/derivatives/iiif/images/obj06/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj06/full/full/0/default.jpg,/img/derivatives/iiif/obj06/manifest.json,/bio/#scott
obj07,"Sonneman, Eve",American,Landscape/Cloud New Mexico,1978,Cibachrome,Museum of Fine Arts at Florida State University,Museum of Fine Arts at Florida State University,6,qatar_item,mofa,"/img/derivatives/iiif/images/obj07/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj07/full/full/0/default.jpg,/img/derivatives/iiif/obj07/manifest.json,/bio/#sonneman
obj08,"Sonneman, Eve",American,"Cropdusting, Clovis, New Mexico",1978,Cibachrome,Museum of Fine Arts at Florida State University,Museum of Fine Arts at Florida State University,7,qatar_item,mofa,"/img/derivatives/iiif/images/obj08/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj08/full/full/0/default.jpg,/img/derivatives/iiif/obj08/manifest.json,/bio/#sonneman
obj09,"Veninger, Adriene","Czechoslovakian, Canadian",Untitled II,1990,Limited Reproduction Print,Museum of Fine Arts at Florida State University,Museum of Fine Arts at Florida State University,8,qatar_item,mofa,"/img/derivatives/iiif/images/obj09/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj09/full/full/0/default.jpg,/img/derivatives/iiif/obj09/manifest.json,/bio/#veninger
obj10,"Veninger, Adriene","Czechoslovakian, Canadian",Poppies,1990,Limited Reproduction Print,Museum of Fine Arts at Florida State University,Museum of Fine Arts at Florida State University,9,qatar_item,mofa,"/img/derivatives/iiif/images/obj10/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj10/full/full/0/default.jpg,/img/derivatives/iiif/obj10/manifest.json,/bio/#veninger
obj11,"Walker, Melanie",American,Mystery from Fudanyard,1990,Archival Print,Museum of Fine Arts at Florida State University,Museum of Fine Arts at Florida State University,10,qatar_item,mofa,"/img/derivatives/iiif/images/obj11/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj11/full/full/0/default.jpg,/img/derivatives/iiif/obj11/manifest.json,/bio/#walker
obj12,"Weisberg, Ruth",American,Parting the Water,1997,Lithograph,Museum of Fine Arts at Florida State University,Museum of Fine Arts at Florida State University,11,qatar_item,mofa,"/img/derivatives/iiif/images/obj12/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj12/full/full/0/default.jpg,/img/derivatives/iiif/obj12/manifest.json,/bio/#weisberg